X,Y,Facies,Porosity,Perm,AI
100,900,0,0.101318882,1.996867748,5590.417154
100,700,1,0.145911865,17.81814308,3586.988513
300,700,1,0.165154616,486.504799,3726.023776
300,100,0,0.078502991,0.5396475,6266.168737
500,900,1,0.163029998,129.8036299,4272.717072
500,700,0,0.107519958,10.45967682,5281.963763
500,500,0,0.099333021,7.116044098,6080.263353
500,300,0,0.085487373,0.819331279,6232.488903
700,900,1,0.144936473,20.63446978,4425.742919
700,700,0,0.098027886,0.614548162,4404.310927
700,100,1,0.144041529,18.68026855,3903.676211
800,300,1,0.121301344,5.262136805,5705.393545
900,700,0,0.10741279,0.556418213,3419.144314
60,299,0,0.111198073,2.762642318,5141.51159
480,869,1,0.142709762,44.80447942,4964.381747
900,699,0,0.096685957,0.375122643,3904.549469
40,99,0,0.088570872,3.248844471,5761.147734
970,509,0,0.099944327,2.74079619,6399.464496
510,939,1,0.148881555,70.56278492,3665.012314
480,929,1,0.156588682,103.4662545,4401.301114
800,259,1,0.148592335,17.30323835,5383.404805
720,99,1,0.158580671,31.32069971,3862.779932
510,749,1,0.117690333,18.21027108,5099.54185
270,939,1,0.120364,21.42061302,4729.726954
920,9,1,0.159776805,45.85504582,3493.860159
250,729,1,0.176423113,476.1506516,4488.425336
710,649,0,0.092092903,0.56720895,4274.588082
960,39,1,0.154220444,39.75394378,3352.542127
730,919,1,0.177641831,82.85383883,4311.358564
240,689,1,0.163196873,233.5485412,3395.359998
50,269,0,0.084510356,1.14140013,4445.115236
240,79,0,0.094064496,2.479956696,6144.640275
500,719,0,0.118733457,17.28773549,5247.918722
260,69,0,0.066231315,0.424679113,6885.78067
290,909,1,0.106621624,18.28504281,4794.296936
670,629,0,0.112032881,1.798287102,5164.42382
800,269,1,0.137709984,11.34716137,5461.129656
460,469,0,0.102736784,10.84150335,4528.782651
980,339,1,0.126457649,10.5944746,4948.890047
920,719,0,0.089571061,0.260590352,2796.643766
680,29,1,0.128993697,11.32973866,3308.590727
270,709,1,0.171830075,499.82868,3425.500651
110,689,1,0.144646999,26.79764011,3478.107639
700,609,0,0.100779978,1.648959501,5167.144171
70,269,0,0.107088471,3.364425244,4509.980687
680,689,0,0.095578163,0.620002047,4843.790237
320,329,0,0.101257609,4.761952967,5878.442606
510,899,1,0.157110778,103.9842538,4432.984637
750,879,1,0.137260815,8.005736379,4279.1152
540,509,0,0.098945108,4.197664211,6829.220654
740,879,1,0.150873834,16.28841118,4850.035301
90,489,1,0.138742425,9.540895757,3150.316067
300,679,1,0.168196204,602.6562873,3766.141917
990,519,0,0.122079476,8.09231273,6403.75874
680,429,1,0.116107365,22.70280678,6013.816976
720,899,1,0.148053567,18.23593931,4657.906573
300,539,1,0.148719139,86.10962959,4454.324696
540,129,0,0.110192485,3.69172446,6185.818764
320,559,1,0.149399578,131.8642479,4332.562518
70,869,0,0.127860343,4.896128582,4319.617081
720,129,1,0.134839256,11.03761216,3716.261543
800,249,1,0.14588814,13.95403906,5636.263555
60,479,1,0.122623765,4.143724994,3855.965027
950,59,1,0.15816998,52.34672386,4004.352923
790,259,1,0.147352257,15.7248148,5178.285515
50,729,1,0.119197769,2.006094187,3643.204933
270,49,0,0.043853406,0.09462701,6906.176965
790,289,1,0.109893505,3.208329661,5199.361824
330,319,0,0.100148862,4.667174979,5721.658842
770,279,1,0.136608819,10.88323122,5609.310795
280,929,1,0.123152592,30.20601114,5103.981137
990,859,0,0.123790785,2.226481784,4122.567716
510,339,0,0.066969948,0.412301227,6518.084345
40,899,0,0.103548309,1.752144334,5637.990438
660,459,0,0.128640768,32.94142775,6570.337407
520,729,1,0.109791916,11.13128992,5642.804784
510,689,0,0.091304615,4.424498521,4932.347595
650,469,0,0.120071526,19.09870492,6622.020739
