"ox_during","yhat","predictors","model","index"
8.73,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
9.00941176470588,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
9.28882352941176,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
9.56823529411765,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
9.84764705882353,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
10.1270588235294,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
10.4064705882353,760.382414785802,"ox_during","sampling w/ coordinates","abundance"
10.6858823529412,760.346327614885,"ox_during","sampling w/ coordinates","abundance"
10.9652941176471,763.02342162904,"ox_during","sampling w/ coordinates","abundance"
11.2447058823529,763.02342162904,"ox_during","sampling w/ coordinates","abundance"
11.5241176470588,763.02342162904,"ox_during","sampling w/ coordinates","abundance"
11.8035294117647,763.202734105445,"ox_during","sampling w/ coordinates","abundance"
12.0829411764706,763.202734105445,"ox_during","sampling w/ coordinates","abundance"
12.3623529411765,740.539060429284,"ox_during","sampling w/ coordinates","abundance"
12.6417647058824,740.541485102634,"ox_during","sampling w/ coordinates","abundance"
12.9211764705882,740.601467119869,"ox_during","sampling w/ coordinates","abundance"
13.2005882352941,740.506200278695,"ox_during","sampling w/ coordinates","abundance"
13.48,740.506200278695,"ox_during","sampling w/ coordinates","abundance"
