"ox_after","yhat","predictors","model","index"
8.05,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
8.37823529411765,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
8.70647058823529,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
9.03470588235294,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
9.36294117647059,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
9.69117647058824,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
10.0194117647059,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
10.3476470588235,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
10.6758823529412,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
11.0041176470588,2.50300391729925,"ox_after","sampling w/ coordinates","shannon_index"
11.3323529411765,2.53330626056844,"ox_after","sampling w/ coordinates","shannon_index"
11.6605882352941,2.53399593901445,"ox_after","sampling w/ coordinates","shannon_index"
11.9888235294118,2.53399593901445,"ox_after","sampling w/ coordinates","shannon_index"
12.3170588235294,2.53399593901445,"ox_after","sampling w/ coordinates","shannon_index"
12.6452941176471,2.53428748955075,"ox_after","sampling w/ coordinates","shannon_index"
12.9735294117647,2.53428748955075,"ox_after","sampling w/ coordinates","shannon_index"
13.3017647058824,2.53428748955075,"ox_after","sampling w/ coordinates","shannon_index"
13.63,2.53450249443725,"ox_after","sampling w/ coordinates","shannon_index"
