"pH_before","yhat","predictors","model","index"
6.72,0.197140601138893,"pH_before","sampling w/ coordinates","rel_abundance"
6.87142857142857,0.197140601138893,"pH_before","sampling w/ coordinates","rel_abundance"
7.02285714285714,0.197140601138893,"pH_before","sampling w/ coordinates","rel_abundance"
7.17428571428571,0.197140601138893,"pH_before","sampling w/ coordinates","rel_abundance"
7.32571428571429,0.197140601138893,"pH_before","sampling w/ coordinates","rel_abundance"
7.47714285714286,0.196775579574966,"pH_before","sampling w/ coordinates","rel_abundance"
7.62857142857143,0.196775579574966,"pH_before","sampling w/ coordinates","rel_abundance"
7.78,0.196558386087418,"pH_before","sampling w/ coordinates","rel_abundance"
7.93142857142857,0.196438991563843,"pH_before","sampling w/ coordinates","rel_abundance"
8.08285714285714,0.19234126418491,"pH_before","sampling w/ coordinates","rel_abundance"
8.23428571428571,0.192783261347089,"pH_before","sampling w/ coordinates","rel_abundance"
8.38571428571429,0.181468621018481,"pH_before","sampling w/ coordinates","rel_abundance"
8.53714285714286,0.193218481923665,"pH_before","sampling w/ coordinates","rel_abundance"
8.68857142857143,0.196480427317106,"pH_before","sampling w/ coordinates","rel_abundance"
8.84,0.213493560847551,"pH_before","sampling w/ coordinates","rel_abundance"
