"gaug_after","yhat","predictors","model","index"
226.76,767.36721098796,"gaug_after","all predictors w/ coordinates","abundance"
298.703571428571,765.517743276659,"gaug_after","all predictors w/ coordinates","abundance"
370.647142857143,768.678638637738,"gaug_after","all predictors w/ coordinates","abundance"
442.590714285714,769.370942983032,"gaug_after","all predictors w/ coordinates","abundance"
514.534285714286,771.546028528968,"gaug_after","all predictors w/ coordinates","abundance"
586.477857142857,748.791895543413,"gaug_after","all predictors w/ coordinates","abundance"
658.421428571429,730.257549728143,"gaug_after","all predictors w/ coordinates","abundance"
730.365,730.024332668325,"gaug_after","all predictors w/ coordinates","abundance"
802.308571428571,730.024332668325,"gaug_after","all predictors w/ coordinates","abundance"
874.252142857143,730.203873409066,"gaug_after","all predictors w/ coordinates","abundance"
946.195714285714,730.719244293839,"gaug_after","all predictors w/ coordinates","abundance"
1018.13928571429,741.969279766751,"gaug_after","all predictors w/ coordinates","abundance"
1090.08285714286,741.969279766751,"gaug_after","all predictors w/ coordinates","abundance"
1162.02642857143,741.969279766751,"gaug_after","all predictors w/ coordinates","abundance"
1233.97,741.969279766751,"gaug_after","all predictors w/ coordinates","abundance"
