"pH_during","yhat","predictors","model","index"
7.04,2.51908543489672,"pH_during","all predictors w/ coordinates","shannon_index"
7.19428571428571,2.51908543489672,"pH_during","all predictors w/ coordinates","shannon_index"
7.34857142857143,2.51908543489672,"pH_during","all predictors w/ coordinates","shannon_index"
7.50285714285714,2.50541166638433,"pH_during","all predictors w/ coordinates","shannon_index"
7.65714285714286,2.50547456972933,"pH_during","all predictors w/ coordinates","shannon_index"
7.81142857142857,2.50235393249292,"pH_during","all predictors w/ coordinates","shannon_index"
7.96571428571429,2.5014611434582,"pH_during","all predictors w/ coordinates","shannon_index"
8.12,2.50172938129159,"pH_during","all predictors w/ coordinates","shannon_index"
8.27428571428571,2.50298951210918,"pH_during","all predictors w/ coordinates","shannon_index"
8.42857142857143,2.50997559754898,"pH_during","all predictors w/ coordinates","shannon_index"
8.58285714285714,2.50601267117537,"pH_during","all predictors w/ coordinates","shannon_index"
8.73714285714286,2.51670911281341,"pH_during","all predictors w/ coordinates","shannon_index"
8.89142857142857,2.50994524836339,"pH_during","all predictors w/ coordinates","shannon_index"
9.04571428571428,2.5120233104988,"pH_during","all predictors w/ coordinates","shannon_index"
9.2,2.5120233104988,"pH_during","all predictors w/ coordinates","shannon_index"
