River;Reach (Untersuchungsstelle);Flow regime;Date of MZB-Sampling;Field-Screening identification;Laboratory identification;Water depth [cm] MEAN;Water depth [cm] MEDIAN;Water depth [cm] SD;Flow velocity [v60, cm/s] MEAN;Flow velocity [v60, cm/s] MEDIAN;Flow velocity [v60, cm/s] SD;Distance to water edge [m] MEAN;Distance to water edge [m] MEDIAN;Distance to water edge [m] SD;Clogging (1-3) MEAN;Clogging (1-3) MEDIAN;Clogging (1-3) SD;Number of substrate types;mobile blocks > 250 mm in %;natural and artificial surfaces  > 250 mm in %;larger mineral sediments 250 mm > x > 25 mm in %;gravel 25 mm > x > 2.5 mm in %;sand and silt < 2.5 mm in %;Algae cover (1-3) MEAN;Algae cover (1-3) MEDIAN;Algae cover (1-3) SD;Moos cover (1-3) MEAN;Moos cover (1-3) MEDIAN;Moos cover (1-3) SD;CPOM cover (1-3) MEAN;CPOM cover (1-3) MEDIAN;CPOM cover (1-3) SD;Conductivity [μs/cm] MEAN;Conductivity [μs/cm] MEDIAN;Conductivity [μs/cm] SD;Water T [°C] MEAN ;Water T [°C] MEDIAN;Water T [°C] SD;Oxygen [mg/l] MEAN ;Oxygen [mg/l] MEDIAN;Oxygen [mg/l] SD;pH [-] MEAN ;pH [-] MEDIAN ;pH [-] SD ;Turbidity [NTU] MEAN ;Turbidity [NTU] MEDIAN ;Turbidity [NTU] SD;Category Flow velocity (5 Bewohnbarkeits-klasse) MEAN;Category Flow velocity (5 Bewohnbarkeits-klasse) MEDIAN;Category Flow velocity (5 Bewohnbarkeits-klasse) SD;Category substrate (5 Bewohnbarkeits-klasse) MEAN;Category substrate (5 Bewohnbarkeits-klasse) MEDIAN;Category substrate (5 Bewohnbarkeits-klasse) SD
Moesa;M1;Hydropeaking;02.03.2022;X;X;24.58;21.50;13.11;20.08;14.00;15.36;2.63;2.55;2.08;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;349.67;370.00;74.48;8.43;8.80;0.59;10.54;10.43;0.19;7.78;7.87;0.17;0.59;0.51;0.19;3.33;3.00;1.37;4.00;4.00;0.00
Moesa;M2;Hydropeaking;03.03.2022;X;;19.58;20.00;5.84;30.00;23.50;24.08;2.06;2.13;1.36;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;591.33;593.00;3.09;4.90;4.50;1.18;11.53;11.66;0.47;7.65;7.70;0.26;0.60;0.60;0.08;3.83;3.50;0.90;4.00;4.00;0.00
Moesa;M3;Hydropeaking;03.03.2022;X;;39.00;39.00;19.36;32.17;35.50;22.98;4.04;3.68;3.24;1.00;1.00;0.00;2.00;33.33;0.00;66.67;0.00;0.00;1.33;1.00;0.47;1.00;1.00;0.00;1.00;1.00;0.00;229.00;207.00;46.75;8.77;8.70;0.17;10.56;10.59;0.05;7.44;7.42;0.03;1.55;0.84;1.03;3.83;5.00;1.52;4.33;4.00;0.47
Moesa;MR;Residual flow;04.03.2022;X;X;32.67;34.50;15.41;29.33;27.50;18.82;2.20;1.95;1.57;1.00;1.00;0.00;2.00;25.00;0.00;75.00;0.00;0.00;1.25;1.00;0.43;1.00;1.00;0.00;1.17;1.00;0.37;605.33;609.00;6.65;5.13;4.50;0.90;11.33;11.52;0.28;7.96;8.06;0.16;0.86;0.72;0.33;3.83;4.00;1.28;4.25;4.00;0.43
Moesa;M4;Hydropeaking;04.03.2022;X;;35.25;36.00;12.95;33.00;35.00;22.85;2.47;2.90;1.68;1.00;1.00;0.00;2.00;58.33;0.00;41.67;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;580.00;580.00;3.27;8.57;8.70;0.26;10.52;10.47;0.09;8.05;8.04;0.06;0.67;0.69;0.14;3.75;4.50;1.48;4.58;5.00;0.49
Moesa;M5;Hydropeaking;04.03.2022;X;X;37.00;43.00;20.81;47.17;48.00;38.25;3.65;3.78;2.78;1.00;1.00;0.00;3.00;16.67;0.00;58.33;25.00;0.00;1.42;1.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;219.00;220.00;2.94;8.67;8.60;0.41;10.72;10.69;0.10;7.93;7.94;0.03;0.56;0.55;0.08;3.92;4.00;1.19;3.92;4.00;0.64
Moesa;M6;Hydropeaking;05.03.2022;X;;28.25;26.00;12.24;36.92;36.00;27.24;2.95;3.03;1.94;1.00;1.00;0.00;2.00;0.00;0.00;91.67;0.00;8.33;1.17;1.00;0.37;1.00;1.00;0.00;1.00;1.00;0.00;234.00;233.00;5.35;6.03;5.90;0.19;11.46;11.46;0.03;7.92;7.95;0.12;0.64;0.51;0.20;3.75;4.50;1.48;3.83;4.00;0.55
Moesa;M7;Hydropeaking;05.03.2022;X;X;33.08;35.00;13.00;17.25;20.00;11.82;9.13;9.73;5.86;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.25;1.00;0.43;1.00;1.00;0.00;1.00;1.00;0.00;127.00;125.00;8.29;8.17;8.10;0.65;11.31;11.36;0.16;7.99;7.97;0.05;0.81;0.64;0.28;3.17;3.00;1.28;4.00;4.00;0.00
Ticino;T1;Hydropeaking;05.03.2022;X;X;48.42;48.00;17.60;40.92;52.00;25.46;9.54;9.05;6.90;1.00;1.00;0.00;2.00;8.33;0.00;91.67;0.00;0.00;1.58;2.00;0.49;1.00;1.00;0.00;1.00;1.00;0.00;311.33;311.00;1.25;7.13;7.20;0.09;11.37;11.35;0.03;8.08;8.08;0.01;1.68;0.85;1.18;4.17;5.00;0.99;4.08;4.00;0.28
Ticino;T2;Hydropeaking;06.03.2022;X;X;45.83;47.50;27.39;55.42;57.00;47.73;9.64;8.63;8.73;1.00;1.00;0.00;1.00;0.00;0.00;100.00;0.00;0.00;1.08;1.00;0.28;1.00;1.00;0.00;1.00;1.00;0.00;370.33;371.00;8.99;5.77;5.90;0.50;11.39;11.43;0.05;7.80;7.79;0.11;0.63;0.62;0.11;3.42;4.00;1.55;4.00;4.00;0.00
